credential_id,domain_code,domain_name,domain_weight_pct,objective_code,objective_statement
comptia-data-plus,1.0,Data Concepts and Environments,20,1.1,"Explain data concepts (Database types including relational and non-relational; File extensions including .csv, .xlsx, .json, .txt, .jpg, .dat; Data structures including structured with tables such as fact table, dimensional table, slowly changing dimension, bridge table and schema, semi-structured including JavaScript Object Notation (JSON) with nested structures, and unstructured; Data types including string with char, varchar, nvarchar, null values, spatial, Boolean, numeric with integer, decimal, float, datetime with timestamp, large objects including binary large object (BLOB) and character large object (CLOB), and Globally Unique Identifier (GUID)/Universally Unique Identifier (UUID))"
comptia-data-plus,1.0,Data Concepts and Environments,20,1.2,"Identify types of data sources (Databases, Application programming interfaces (APIs), Website data, Files, Logs, Data repositories including data lakes, data lakehouses, data marts, data silos, and data warehouses)"
comptia-data-plus,1.0,Data Concepts and Environments,20,1.3,"Identify infrastructure concepts (Cloud providers including Amazon Web Services (AWS), Azure, and Google; Cloud and on-premises infrastructure including private, public, and hybrid; Storage types including object, file, local, shared, and block; Containerization)"
comptia-data-plus,1.0,Data Concepts and Environments,20,1.4,"Identify common data analysis tools (Coding environments including integrated development environment (IDE) such as RStudio and Visual Studio (VS) Code, text editor, and notebooks; Business intelligence software including Tableau, Power BI, and Looker; Packages/libraries including Anaconda, pandas, and tidyverse; Programming languages including SAS, Python, R, and Scala; Database management system (DBMS) including Structured Query Language (SQL) Server Management Studio, MySQL Workbench, MongoDB Compass, DBeaver, Toad, and Azure Data Studio)"
comptia-data-plus,1.0,Data Concepts and Environments,20,1.5,"Identify artificial intelligence (AI) concepts (Generative AI including large language model (LLM); Foundational models; Deep learning; Natural language processing (NLP); Robotic process automation (RPA) including automated reporting)"
comptia-data-plus,2.0,Data Acquisition and Preparation,22,2.1,"Given a scenario, use data acquisition methods (Data integration; Querying including join, concatenate, filter, union, grouping, aggregate, and nested queries; Basic query optimization including indexing, parameterization, subsets, and temporary tables; Extract, transform, load (ETL)/extract, load, transform (ELT); Data collection including surveying and sampling)"
comptia-data-plus,2.0,Data Acquisition and Preparation,22,2.2,"Given a scenario, perform data exploration to identify possible inconsistencies with a data set (Missing values, Duplication, Redundancy, Outliers, Completeness, Validation)"
comptia-data-plus,2.0,Data Acquisition and Preparation,22,2.3,"Given a scenario, perform appropriate data transformation and cleansing techniques (String manipulation including regular expressions (RegEx); Conversion; Clustering including binning; Augmentation; Exploding; Scaling; Standardization; Imputation; Parsing; Merging; Appending; Derived variables including calculated fields; Deletion)"
comptia-data-plus,3.0,Data Analysis,24,3.1,"Given a set of requirements, determine the appropriate communication approach for data analysis (Mock-up; Accessibility including auditory and visual; Technical vs. non-technical audience; Level of detail; Internal vs. external; User persona type including C-suite vs. individual contributor; Sensitive vs. non-sensitive; Key performance indicators (KPIs))"
comptia-data-plus,3.0,Data Analysis,24,3.2,"Given a scenario, select the appropriate statistical method or function (Basic statistical methods including prescriptive, descriptive, predictive, and inferential; Functions and measures including mathematical such as measures of central tendency and measures of dispersion, logical, date, and string)"
comptia-data-plus,3.0,Data Analysis,24,3.3,"Given a scenario, troubleshoot basic issues using the appropriate tool or method (Issues including connectivity-related, user-reported, basic SQL code, and corrupted data; Tools and methods including enable logging, validate data source, and consult vendor communities/online resources)"
comptia-data-plus,4.0,Visualization and Reporting,20,4.1,"Given a scenario, use the appropriate visual elements (Types including charts, maps, pivot tables, and infographics; Design elements including labels, legends, branding, and color schemes)"
comptia-data-plus,4.0,Visualization and Reporting,20,4.2,"Given a scenario, use the appropriate delivery or consumption method (Executive summary; Self-service portal; Dashboards including static, dynamic, and frequency such as recurring and ad hoc; Data versioning techniques including snapshot and real-time)"
comptia-data-plus,4.0,Visualization and Reporting,20,4.3,"Given a scenario, troubleshoot issues using report validation techniques (Issues including excessive load time, slow refresh rate, large data size, filter not working correctly, stale data, and corrupt data; Techniques including data filtering, review such as code, calc, and peer, source validation, data structure changes, and monitoring alerts)"
comptia-data-plus,5.0,Data Governance,14,5.1,"Explain data management concepts (Integration; Documentation including data flow diagram, data explainability report, data dictionary, hierarchy structure, and data lineage; Source of truth; Data versioning including snapshots and refresh intervals; Metadata)"
comptia-data-plus,5.0,Data Governance,14,5.2,"Summarize concepts related to data compliance (Retention; General Data Protection Regulation (GDPR); Jurisdictional requirements; Replication; Storage; Data ethics; Payment Card Industry Data Security Standard (PCI DSS); Audit; Classification; Incident reporting including data breach and security)"
comptia-data-plus,5.0,Data Governance,14,5.3,"Compare and contrast data privacy and protection practices (Role-based access control; Encryption including in transit and at rest; Data usage; Data sharing; National Institute Standards and Technology (NIST); Personal identifiable information (PII); Personal health information (PHI); Anonymization; Masking)"
comptia-data-plus,5.0,Data Governance,14,5.4,"Compare and contrast data quality assurance practices (Requirement testing; Stress test; User acceptance test (UAT); Source control; Unit test; Data health check including data drifts; Automated data quality monitoring; Data profiling including quality metrics; International Organization for Standardization (ISO))"
