atom_serial,atom_id,assigned_date,retired
HHS-PH-0001,applied-math-and-data-in-health-science,2026-04-20,false
HHS-PH-0002,body-mechanics-and-safe-patient-handling,2026-04-20,false
HHS-PH-0003,body-organization-and-directional-terms,2026-04-20,false
HHS-PH-0004,body-systems-overview,2026-04-20,false
HHS-PH-0005,common-medical-abbreviations,2026-04-20,false
HHS-PH-0006,conflict-resolution-in-healthcare,2026-04-20,false
HHS-PH-0007,cultural-competence-in-healthcare,2026-04-20,false
HHS-PH-0008,electronic-health-records-basics,2026-04-20,false
HHS-PH-0009,ethics-of-technology-in-healthcare,2026-04-20,false
HHS-PH-0010,fire-and-emergency-safety,2026-04-20,false
HHS-PH-0011,hand-hygiene-technique,2026-04-20,false
HHS-PH-0012,health-economics-and-government-impact,2026-04-20,false
HHS-PH-0013,healthcare-careers-and-pathways,2026-04-20,false
HHS-PH-0014,healthcare-delivery-system-overview,2026-04-20,false
HHS-PH-0015,healthcare-equipment-and-malfunction-reporting,2026-04-20,false
HHS-PH-0016,healthcare-regulatory-agencies,2026-04-20,false
HHS-PH-0017,healthcare-team-roles,2026-04-20,false
HHS-PH-0018,healthy-relationships-and-wellbeing,2026-04-20,false
HHS-PH-0019,hipaa-and-patient-confidentiality,2026-04-20,false
HHS-PH-0020,history-of-healthcare,2026-04-20,false
HHS-PH-0021,homeostasis-and-biological-processes,2026-04-20,false
HHS-PH-0022,leadership-and-teamwork-in-healthcare,2026-04-20,false
HHS-PH-0023,lifespan-development-stages,2026-04-20,false
HHS-PH-0024,malpractice-negligence-and-laws,2026-04-20,false
HHS-PH-0025,maslows-hierarchy-and-patient-needs,2026-04-20,false
HHS-PH-0026,medical-terminology-word-parts,2026-04-20,false
HHS-PH-0027,patient-rights-and-informed-consent,2026-04-20,false
HHS-PH-0028,personal-protective-equipment-use,2026-04-20,false
HHS-PH-0029,professional-ethics-in-healthcare,2026-04-20,false
HHS-PH-0030,professional-organizations-and-credentialing,2026-04-20,false
HHS-PH-0031,professionalism-and-employability-in-healthcare,2026-04-20,false
HHS-PH-0032,scope-of-practice-and-licensure,2026-04-20,false
HHS-PH-0033,standard-precautions-and-chain-of-infection,2026-04-20,false
HHS-PH-0034,technical-communication-in-health-science,2026-04-20,false
HHS-PH-0035,therapeutic-communication,2026-04-20,false
HHS-PH-0036,vital-signs-overview,2026-04-20,false
HHS-PH-0037,wellness-and-disease-prevention,2026-04-20,false
